rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.9999,6,50,0.01,1,153.18199817455275,6.068128368232127,2.972604073773711,15.228779634476123,3,0.0635028494260762,1,0
0.9999,6,50,0.01,2,133.4182077072245,3.042549616653249,1.3892913165915202,7.736014540744791,3,0.6558038483758606,1,0
0.9999,6,50,0.01,3,161.37756908374624,0.6148103561205372,0.6148103561205372,1.2257163490321277,2,0.0005655344165037405,0,0
0.9999,6,50,0.01,4,180.14905147820178,0.6156139430817208,0.6156139430817208,1.2281600203853764,2,0.0027051360662875374,0,0
0.9999,6,50,0.01,5,135.36048999046432,2.472061740757097,2.1271810574855645,5.282943118394686,3,0.18572652700198186,1,0
0.9999,6,50,0.01,6,158.0818940307724,2.8059326832466067,2.0646570964571973,6.351349697445451,3,0.21506349237531505,1,0
0.9999,6,50,0.01,7,142.16276535563605,1.8404518778017047,1.8404518778017047,3.677844469463842,2,0.0020620234671315835,0,0
0.99999,6,50,0.01,0,549.8167899848801,2.1674003232595256,1.6697848349572102,4.830753369741588,3,0.22354513958335648,1,0
0.99999,6,50,0.01,1,484.50616754836597,25.36985113627603,8.957612905558241,67.1496928007908,3,0.20212627003202904,1,0
0.99999,6,50,0.01,2,421.255952662395,1.3320181160493585,1.6793686747507235,2.314953556026567,3,0.925515369755902,1,0
0.99999,6,50,0.01,3,509.2827237575183,1.1508229513295676,1.5645663862684978,1.885734564139526,3,0.03358188671446467,1,0
0.99999,6,50,0.01,4,569.3125744388094,5.366660543676266,5.366660543676266,10.731243076444109,2,0.002705136066288057,0,0
0.99999,6,50,0.01,5,427.9071201986923,1.8175667729846534,2.400684904213317,3.050222155723728,3,0.585204152086712,1,0
0.99999,6,50,0.01,6,499.98014942378325,1.698803442239484,2.308113805750349,2.7871027012658285,3,0.67976901198224,1,0
0.99999,6,50,0.01,7,449.7181650475925,2.440053459982638,2.440053459982638,4.877742359187044,2,0.0020620234671316845,0,0
0.999999,6,50,0.01,0,1738.8823438275333,2.0546332281872943,2.400756899412998,3.7615238470452366,3,0.7092163332469551,1,0
0.999999,6,50,0.01,1,1532.2372819930463,177.18839288225112,23.732506103018725,507.8305752897535,3,0.6405176020503717,1,0
0.999999,6,50,0.01,2,1331.476813859352,0.886085681135292,0.886085681135292,1.7704705904349778,2,1.2452200843467003,1,1
0.999999,6,50,0.01,3,1609.4522132625118,1.187207801827214,1.7253449319723875,1.8345475501314834,3,0.10583078134399858,1,0
0.999999,6,50,0.01,4,1799.9455405031422,3.80063238734114,3.80063238734114,7.599446132971942,2,0.0027051360662875374,0,0
0.999999,6,50,0.01,5,1353.0228674601312,1.2519100861591475,1.2519100861591475,2.502678264475526,2,1.2479412142688062,1,1
0.999999,6,50,0.01,6,1581.1582603703905,1.5868667215366894,2.3654228196735634,2.393751533018106,3,1.3501057329929844,1,0
0.999999,6,50,0.01,7,1422.2888088117472,1.4096429296137098,1.4096429296137098,2.8171152553000547,2,0.0020620234671316173,0,0
0.0,6,100,0.01,0,1.4634206977555348,0.04297120261147378,0.04297120261147378,0.06317467911154545,2,0.0013488453388702552,0,0
