rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
1.0,1.0,0.0,9,50,0.001,0,244.79015224314364,2.2943474073341257,1.627548419597751,9.825804013158168,13,0.22173454220142225,5,0
1.0,1.0,0.0,9,50,0.001,1,175.14775318222178,0.7152501373599767,0.5535169730278809,2.1319757387551705,9,0.0030139494794075234,1,0
1.0,1.0,0.0,9,50,0.001,2,582.3316441670701,3.5518479717085816,1.8929894273378056,16.43078278454854,16,0.04806508834168876,8,0
1.0,1.0,0.0,9,50,0.001,3,1193.0131443242328,3.2961077816079936,1.967131831763588,21.007854541976172,18,0.10307375440878458,10,0
1.0,1.0,0.0,9,50,0.001,4,1205.6240719533191,1.632996161064704,2.0013113327682546,3.812730708524951,17,0.10894900753334723,9,0
1.0,1.0,0.0,9,50,0.001,5,1121.166566428695,1.601522063478687,0.9312252908420757,7.145858774508234,12,0.009359920407489892,4,0
0.75,0.75,0.25,9,50,0.001,0,280.81942388789037,8.316331123199701,1.8686837068448974,97.36444201401636,14,0.22086953091039424,6,0
0.75,0.75,0.25,9,50,0.001,1,134.36554776531923,0.8393578669690365,0.5254893414530478,2.9515497055924493,10,0.007050943644050564,2,0
0.75,0.75,0.25,9,50,0.001,2,652.8014469712205,2.3399786803417255,1.663568339265741,9.600356469223714,15,0.03654111076755317,7,0
0.75,0.75,0.25,9,50,0.001,3,3458.7683990895425,6.5494749635341165,1.8291267355148972,53.08010477984775,16,0.16256169756785144,8,0
0.75,0.75,0.25,9,50,0.001,4,1445.1834779822655,1.671614921859245,1.9450138194763475,4.399734101224391,17,0.1303653015749017,9,0
0.75,0.75,0.25,9,50,0.001,5,1132.16166697806,2.315619423172359,1.445974675609431,11.815717201246787,15,0.012573511709307397,7,0
0.5,0.5,0.5,9,50,0.001,0,365.83771393829045,2.2563350723174427,1.316903458540612,8.559766544341784,16,0.47091970156554563,8,0
0.5,0.5,0.5,9,50,0.001,1,113.7977655000132,1.0614798126278098,0.53365336513662,5.347873741938437,11,0.018218026597941313,3,0
0.5,0.5,0.5,9,50,0.001,2,918.2129697006453,1.837698531876832,1.7988000922427143,4.410443817400034,14,0.04731831194519105,6,0
0.5,0.5,0.5,9,50,0.001,3,2033.0651949809098,4.88880150499346,1.3253288686348004,20.18656261651421,18,0.1293749217246096,10,0
0.5,0.5,0.5,9,50,0.001,4,1934.1247259141053,1.7531432821594601,1.7583682805510708,6.203658544214226,17,0.1541193482261391,9,0
0.5,0.5,0.5,9,50,0.001,5,1090.1286432018744,2.793545277790151,1.5809993195077594,19.784385359757234,15,0.022614616963698264,7,0
0.25,0.25,0.75,9,50,0.001,0,643.232776769152,1.6214762528736286,0.9783215199711786,5.674937905202138,18,1.361131521689192,10,0
0.25,0.25,0.75,9,50,0.001,1,147.5152535280037,4.668365977724652,0.885079939202136,50.90504389738594,14,0.015798517585044847,6,0
0.25,0.25,0.75,9,50,0.001,2,1772.7548170970072,1.7452726504637288,1.545689597272216,3.5121159862943983,13,0.08837972325765882,5,0
0.25,0.25,0.75,9,50,0.001,3,2083.7263859698064,20.642417662803606,1.1318517839604205,225.88768757705284,17,0.1991785019692009,9,0
0.25,0.25,0.75,9,50,0.001,4,3268.3810274925104,1.8180537207242247,1.8108887080887879,6.448116440833498,17,0.197799996923371,9,0
0.25,0.25,0.75,9,50,0.001,5,1132.5163500907984,2.4643016282671866,1.4397231414332374,14.889991011600717,16,0.047576654313143375,8,0
0.1,0.1,0.9,9,50,0.001,0,1503.4355481401062,1.3584617224287778,0.8722449451280715,3.44838930986924,17,1.0831136829203698,10,1
0.1,0.1,0.9,9,50,0.001,1,316.9662851983437,3.2739913973826913,1.1145674550767637,19.138418141847335,15,0.02191234821466379,7,0
0.1,0.1,0.9,9,50,0.001,2,4392.73383137334,6.391370822981485,1.472192971905432,44.04848213888501,14,0.22638419354551514,6,0
0.1,0.1,0.9,9,50,0.001,3,4332.959617247561,3.5345914934235085,1.2019206229905874,17.01302560341958,15,0.3516276552171911,7,0
0.1,0.1,0.9,9,50,0.001,4,5160.706999275225,1.8861850184290487,1.8092560393330377,5.669158465993584,18,0.2966132245269953,10,0
0.1,0.1,0.9,9,50,0.001,5,1193.2987087561903,3.8943193374747382,1.18865294381972,19.549540598107583,17,0.16736369235518,9,0
0.01,0.01,0.99,9,50,0.001,0,14530.745268969997,0.7487648538525197,0.7400129448154018,1.295167164793375,5,0.9028791604000141,2,5
0.01,0.01,0.99,9,50,0.001,1,2967.1678095404827,1.2633963401880555,0.990547011919232,4.043905661199232,12,0.1122633462786749,4,0
0.01,0.01,0.99,9,50,0.001,2,43890.71564722627,4.12929005734594,4.250778557620638,7.975517772612351,6,0.8375963627295644,4,6
0.01,0.01,0.99,9,50,0.001,3,40377.63510329377,7.080836581580654,0.9680707603855698,20.4462785639223,6,1.313157149475697,4,6
0.01,0.01,0.99,9,50,0.001,4,5840.1770610513695,10.566809392030132,1.503092067043883,122.75936823094342,17,0.6933859190876897,9,0
0.01,0.01,0.99,9,50,0.001,5,3070.6823500403134,2.56600494504774,2.0827488879196494,7.563116223713764,15,0.7085408014771131,8,1
0.0,0.0,1.0,9,50,0.001,0,781073059689.8656,0.827715506679314,1.110321607372732,1.328655939646014,6,0.8522516036490305,4,6
0.0,0.0,1.0,9,50,0.001,1,1062290486658.15,0.9234023074997287,1.3020603920293121,1.4798402534172792,6,0.8523083612080556,4,6
0.0,0.0,1.0,9,50,0.001,2,1093713912091.6431,0.9255965147930413,1.3557688232333143,1.3705247353838683,6,0.8523116805395965,4,6
0.0,0.0,1.0,9,50,0.001,3,849327058031.5023,0.8920590347085994,1.2901188465258793,1.361320196860225,6,0.8523491992645394,4,6
0.0,0.0,1.0,9,50,0.001,4,3189353374559.989,1.427574587239744,1.5381400947337505,2.0305243567710125,17,0.8634308900761007,10,1
0.0,0.0,1.0,9,50,0.001,5,844982579073.623,1.0656835810509784,1.2524520203354008,1.517628673582026,13,0.8578450585881132,9,4
1.0,1.0,0.0,9,50,0.01,0,244.79015224314364,28.836798294036473,1.8675926828571527,440.2171715961775,17,0.27084877061948065,9,0
1.0,1.0,0.0,9,50,0.01,1,175.14775318222178,1.638939320213232,1.0188476807186055,3.7789582822788472,15,0.05350741024701807,7,0
1.0,1.0,0.0,9,50,0.01,2,582.3316441670701,4.063302489670582,1.8842972083576712,31.98765833753001,16,0.4236586564604563,8,0
1.0,1.0,0.0,9,50,0.01,3,1193.0131443242328,3.34847118075059,1.7960746342025362,15.994653706768998,17,0.7189711766782885,10,1
1.0,1.0,0.0,9,50,0.01,4,1205.6240719533191,2.145738069682606,2.3441249519833964,6.342898240081623,17,0.6262698537540827,9,0
1.0,1.0,0.0,9,50,0.01,5,1121.166566428695,4.450296199339545,1.5950698080906056,25.790991951538512,18,0.2609407464161539,10,0
0.75,0.75,0.25,9,50,0.01,0,280.81942388789037,2.5883301718084555,2.261197933469358,10.574208014649797,18,0.3084407719497243,10,0
0.75,0.75,0.25,9,50,0.01,1,134.36554776531923,1.7626944397224642,0.8419153279420477,4.494372512637361,15,0.06755402577014462,7,0
0.75,0.75,0.25,9,50,0.01,2,652.8014469712205,4.015384791141234,1.8387737859436788,19.383945090845266,16,0.408030618823015,8,0
0.75,0.75,0.25,9,50,0.01,3,3458.7683990895425,2.136842427889892,1.3451479534580626,8.34633495984961,16,0.9258208344091484,8,0
0.75,0.75,0.25,9,50,0.01,4,1445.1834779822655,1.9573358461695292,2.2822072243090523,3.716189665194927,17,0.743276846360147,9,0
0.75,0.75,0.25,9,50,0.01,5,1132.16166697806,4.897809500472888,1.394687073837746,44.1898378391715,16,0.14193508373732544,8,0
0.5,0.5,0.5,9,50,0.01,0,365.83771393829045,3.9813423320270624,1.575870781124261,30.3575881223605,18,0.447526231272137,10,0
0.5,0.5,0.5,9,50,0.01,1,113.7977655000132,1.8585528001444225,1.2293276853842945,7.447128619431041,16,0.0922167666089994,8,0
0.5,0.5,0.5,9,50,0.01,2,918.2129697006453,10.97177922966588,1.9423039884527715,128.16007772490656,16,0.5434594811406891,8,0
0.5,0.5,0.5,9,50,0.01,3,2033.0651949809098,3.617162973571978,3.0329450618348592,10.582713214864938,13,0.6444270558869444,6,1
0.5,0.5,0.5,9,50,0.01,4,1934.1247259141053,1.9055546391278682,2.280399789836945,3.6757529098747166,17,0.8827335702582141,9,0
0.5,0.5,0.5,9,50,0.01,5,1090.1286432018744,5.178127258983951,1.6844715228849942,22.16031708239332,17,0.17215535434368145,9,0
0.25,0.25,0.75,9,50,0.01,0,643.232776769152,1.30960390720501,1.1850175518901431,3.649877927748365,17,1.4732507453190928,10,1
0.25,0.25,0.75,9,50,0.01,1,147.5152535280037,10.895285288245272,1.2026907009966648,89.44755491629351,18,0.13148371826787725,10,0
0.25,0.25,0.75,9,50,0.01,2,1772.7548170970072,5.793222213643255,2.066272931937359,30.63034707559924,15,0.6702311997755515,7,0
0.25,0.25,0.75,9,50,0.01,3,2083.7263859698064,15.051707253053216,3.060053927490424,104.17894331466435,18,0.8238240671152245,10,0
0.25,0.25,0.75,9,50,0.01,4,3268.3810274925104,2.0442363593518746,1.7993242021529947,4.892690857032684,17,0.894041191890059,9,0
0.25,0.25,0.75,9,50,0.01,5,1132.5163500907984,12.82704964985098,1.725907603891342,153.49110144508293,17,0.3754225717921606,9,0
0.1,0.1,0.9,9,50,0.01,0,1503.4355481401062,1.213977801482224,1.1656790720497014,2.3451385957916364,17,1.1162713171850898,9,0
0.1,0.1,0.9,9,50,0.01,1,316.9662851983437,5.788580571194708,1.0383782972438766,40.0797509369018,17,0.2592210199368956,9,0
0.1,0.1,0.9,9,50,0.01,2,4392.73383137334,1.5222067264887122,1.4047360056514289,2.9613627430618106,14,0.8615238133775852,6,0
