rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.999,6,100,0.01,0,47.66397403499577,0.40658123573764754,0.40658123573764754,0.8104350820950581,2,0.0019108349032780207,0,0
0.999,6,100,0.01,1,38.858211100782185,1.4108324731295137,0.42504758241834223,3.8042945712987897,3,0.011820518368212204,1,0
0.999,6,100,0.01,2,44.615802491024944,37.15814346299473,0.6487865648969025,110.82039835017315,3,0.011903080399095144,1,0
0.999,6,100,0.01,3,47.331537881941415,7.225719505941981,0.3845785107591893,21.289639596761628,3,0.011558288437124777,1,0
0.9999,6,100,0.01,0,150.85007595408788,5.970640725524144,2.1058671241033067,15.804819350357109,3,0.020438989587323046,1,0
0.9999,6,100,0.01,1,122.90554534478002,1.0803605938520426,0.9367355678776376,2.3023330834112654,3,0.0382169313059128,1,0
0.9999,6,100,0.01,2,141.07145255847573,2.8812632081142593,1.5547263302016334,7.087349699762097,3,0.03489239033018127,1,0
0.9999,6,100,0.01,3,150.43486695180516,1.7301872529738753,0.9560903997050461,4.233170681638001,3,0.03737029545069639,1,0
0.0,6,100,0.1,0,1.4634206977555348,0.49436327172380906,0.06605694544174669,1.393265016275289,3,0.014333818455143164,1,0
0.0,6,100,0.1,1,1.411654960642138,0.3407301876967546,0.04000849372637138,0.9577188889346049,3,0.009120819214397915,1,0
0.0,6,100,0.1,2,1.3220467073229334,3.985120962994317,0.49571924485380997,14.928755492766086,4,0.0237844118726335,2,0
0.0,6,100,0.1,3,1.502349415830757,0.584299485050054,0.1399911351944567,1.5918181809546514,3,0.0034663458322365458,1,0
0.9,6,100,0.1,0,4.645482554566803,0.6350595496576378,0.0805913524824262,1.7966395171525653,3,0.018269392564117283,1,0
0.9,6,100,0.1,1,3.863041411094681,1.7027393732224816,0.0406210264847542,5.03528783588519,3,0.016851465914940016,1,0
0.9,6,100,0.1,2,4.396098416952268,1.2867401449709468,1.6641587803418267,2.5435243446577114,5,0.02799178733765949,3,0
0.9,6,100,0.1,3,4.361774158928512,1.1492744067950085,0.06024120517362704,3.3369635002220543,3,0.006791938824328458,1,0
0.99,6,100,0.1,0,15.017650320166439,1.6763725092076165,1.1284058176368426,4.435692341177345,4,0.025533437537149133,2,0
0.99,6,100,0.1,1,12.277327056725825,9.719556927195276,0.15538971117402922,28.982594680418316,3,0.04239577642075862,1,0
0.99,6,100,0.1,2,14.097991904882091,1.4656685819628552,1.4022968496459898,3.541052659809141,5,0.04632129236564135,3,0
0.99,6,100,0.1,3,14.712523960548904,2.3012323975540943,0.1392310607848669,6.749475995644886,3,0.015522744695059633,1,0
0.999,6,100,0.1,0,47.66397403499577,17.530235288282,1.37762320990984,67.35504656481466,4,0.0610545878042914,2,0
0.999,6,100,0.1,1,38.858211100782185,1.0172875012735245,0.4254944651426018,2.6080882244587364,3,0.14150327200659127,1,0
0.999,6,100,0.1,2,44.615802491024944,3.293439696520982,1.236506500229775,12.165996507298253,5,0.1146082499397617,3,0
0.999,6,100,0.1,3,47.331537881941415,2.4774648727113444,0.37937825844284745,7.040921017063406,3,0.035550539088898436,1,0
0.9999,6,100,0.1,0,150.85007595408788,2.7394220433941143,1.9144545629505547,7.118266235639373,4,0.17428438599191207,2,0
0.9999,6,100,0.1,1,122.90554534478002,0.8678572663800982,0.8531610096689624,1.7326285819587945,3,0.45750566175954344,1,0
0.9999,6,100,0.1,2,141.07145255847573,6.194327471233984,2.1164365351789325,25.134720686093807,5,0.3402957335610655,3,0
