machine,N,degree,d,B,refit_s,hz,mode
Linux-6.8.12-1021-tegra-aarch64-with-glibc2.39 | aarch64,2000,2,27,20,0.457589,2.1854,sequential
Linux-6.8.12-1021-tegra-aarch64-with-glibc2.39 | aarch64,8000,2,27,20,1.732928,0.5771,sequential
